doc_code,doc_label,document_family,source_file,raw_variable,normalized_variable_slug,probable_role,probable_entity,shape_type,source_origin,notes
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,canonique,canonique,à qualifier,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[civilite],civilite,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[cp_perso],cp_perso,adresse / localisation,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[date_naissance],date_naissance,date / échéance,à qualifier,date,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[date_signature],date_signature,date / échéance,signature,date,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[lieu_signature],lieu_signature,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[nationalite],nationalite,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[nom],nom,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[nom_mere],nom_mere,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[nom_pere],nom_pere,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[num_voie_perso],num_voie_perso,adresse / localisation,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[prenom],prenom,identité / qualification personne,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire,signataire,signature / clôture,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.adresse,signataire_adresse,adresse / localisation,signataire,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.adresse_personnelle.cp,signataire_adresse_personnelle_cp,adresse / localisation,personne / associe local,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.adresse_personnelle.num_voie,signataire_adresse_personnelle_num_voie,adresse / localisation,personne / associe local,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.adresse_personnelle.ville,signataire_adresse_personnelle_ville,adresse / localisation,personne / associe local,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.adresse_personnelle.voie,signataire_adresse_personnelle_voie,adresse / localisation,personne / associe local,composite,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.civilite_affichage,signataire_civilite_affichage,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.date_naissance,signataire_date_naissance,date / échéance,signataire,date,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.filiation.nom_mere,signataire_filiation_nom_mere,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.filiation.nom_pere,signataire_filiation_nom_pere,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.genre,signataire_genre,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.nationalite,signataire_nationalite,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.nom,signataire_nom,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signataire.prenom,signataire_prenom,identité / qualification personne,signataire,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[signature],signature,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signature,signature,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signature.date,signature_date,date / échéance,signature,date,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signature.image_optionnelle,signature_image_optionnelle,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,signature.lieu,signature_lieu,signature / clôture,signature,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[ville_perso],ville_perso,adresse / localisation,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/project/09_TABLE_MAPPING_DOCUMENTS_VARIABLES_V1.md,[voie_perso],voie_perso,adresse / localisation,à qualifier,atomic,code_mapping,référentiel canonique V1 / mapping document-variable
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[civilite],civilite,identité / qualification personne,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[cp_perso],cp_perso,adresse / localisation,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[date_naissance],date_naissance,date / échéance,à qualifier,date,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[date_signature],date_signature,date / échéance,signature,date,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[lieu_signature],lieu_signature,signature / clôture,signature,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[nationalite],nationalite,identité / qualification personne,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[nom],nom,identité / qualification personne,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[nom_mere],nom_mere,identité / qualification personne,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[nom_pere],nom_pere,identité / qualification personne,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[num_voie_perso],num_voie_perso,adresse / localisation,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[prenom],prenom,identité / qualification personne,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[ville_perso],ville_perso,adresse / localisation,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V2.docx,[voie_perso],voie_perso,adresse / localisation,à qualifier,atomic,source_truth_v2,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[civilite],civilite,identité / qualification personne,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[cp_perso],cp_perso,adresse / localisation,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[date_naissance],date_naissance,date / échéance,à qualifier,date,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[date_signature],date_signature,date / échéance,signature,date,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[lieu_signature],lieu_signature,signature / clôture,signature,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[nationalite],nationalite,identité / qualification personne,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[nom],nom,identité / qualification personne,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[nom_mere],nom_mere,identité / qualification personne,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[nom_pere],nom_pere,identité / qualification personne,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[num_voie_perso],num_voie_perso,adresse / localisation,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[prenom],prenom,identité / qualification personne,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[ville_perso],ville_perso,adresse / localisation,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,project/source_truth/Documents_a_generer_par_cas_V3.docx,[voie_perso],voie_perso,adresse / localisation,à qualifier,atomic,source_truth_v3,document source: Déclaration sur l'honneur de non condamnation; section: Dans tous les cas
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/initial_ticket_seed.md,[ARBITRAGE],arbitrage,à qualifier,à qualifier,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/initial_ticket_seed.md,[BOOT],boot,à qualifier,à qualifier,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/initial_ticket_seed.md,[GEN],gen,à qualifier,à qualifier,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/initial_ticket_seed.md,[HELPER],helper,à qualifier,à qualifier,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/initial_ticket_seed.md,[REG],reg,à qualifier,à qualifier,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/initial_ticket_seed.md,[TEST],test,à qualifier,à qualifier,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/initial_ticket_seed.md,[UI],ui,à qualifier,à qualifier,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,domiciliation.adresse_domiciliation_affichee,domiciliation_adresse_domiciliation_affichee,adresse / localisation,domiciliation,composite,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,mandataire.adresse,mandataire_adresse,adresse / localisation,mandataire,composite,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,mandataire.nom,mandataire_nom,identité / qualification personne,mandataire,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,mandataire.rcs,mandataire_rcs,identité / qualification société,mandataire,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,mandataire.telephone,mandataire_telephone,à qualifier,mandataire,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.adresse_perso.cp,personne_signataire_adresse_perso_cp,adresse / localisation,personne / associe local,composite,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.adresse_perso.num_voie,personne_signataire_adresse_perso_num_voie,adresse / localisation,personne / associe local,composite,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.adresse_perso.ville,personne_signataire_adresse_perso_ville,adresse / localisation,personne / associe local,composite,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.adresse_perso.voie,personne_signataire_adresse_perso_voie,adresse / localisation,personne / associe local,composite,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.civilite,personne_signataire_civilite,identité / qualification personne,personne / associe local,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.date_naissance,personne_signataire_date_naissance,date / échéance,personne / associe local,date,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.fonction_dirigeant,personne_signataire_fonction_dirigeant,identité / qualification personne,personne / associe local,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.genre,personne_signataire_genre,identité / qualification personne,personne / associe local,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
DOC-001,Déclaration sur l’honneur de non-condamnation,documents communs,docs/delivery/lot_01_analysis_and_specs_v1.md,personne_signataire.nationalite,personne_signataire_nationalite,identité / qualification personne,personne / associe local,atomic,spec_delivery,variable ou placeholder extrait de spec / cadrage / arbitrage delivery
