variable_source,document_source,role_source,variable_candidate,document_candidate,role_candidate,relation_type,confidence,proposed_canonical_field,reason,question_to_human,recommendation_if_validated
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,societe_siege_cp,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-013;DOC-014;...(+5),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.siege.adresse,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,societe_siege_ville,DOC-001;DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-013;DOC-014;...(+5),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.siege.adresse,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,num_voie_siege,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-019;DOC-020;DOC-021;...(+11),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.siege.adresse,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,voie_siege,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-019;DOC-020;DOC-021;...(+11),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.siege.adresse,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,cp_siege,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-013;DOC-014;DOC-019;...(+13),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.siege.adresse,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,ville_siege,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-013;DOC-014;DOC-019;...(+13),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.siege.adresse,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_personnelle,DOC-015;DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-034;DOC-035;...(+8),adresse / localisation,adresse_personnelle_affichee,DOC-019;DOC-020;DOC-021,adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,personne.{role}.adresse_personnelle,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_personnelle,DOC-015;DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-034;DOC-035;...(+8),adresse / localisation,personne_signataire_adresse_perso_num_voie,DOC-001;DOC-002;DOC-003,adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,personne.{role}.adresse_personnelle,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_personnelle,DOC-015;DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-034;DOC-035;...(+8),adresse / localisation,personne_signataire_adresse_perso_voie,DOC-001;DOC-002;DOC-003,adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,personne.{role}.adresse_personnelle,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_personnelle,DOC-015;DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-034;DOC-035;...(+8),adresse / localisation,personne_signataire_adresse_perso_cp,DOC-001;DOC-002;DOC-003,adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,personne.{role}.adresse_personnelle,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
adresse_personnelle,DOC-015;DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-034;DOC-035;...(+8),adresse / localisation,personne_signataire_adresse_perso_ville,DOC-001;DOC-002;DOC-003,adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,personne.{role}.adresse_personnelle,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-002,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
domiciliation_adresse_affichee,DOC-002,adresse / localisation,societe_siege_adresse_affichee,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+9),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,domiciliation.adresse_affichee,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-003,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
domiciliation_adresse_affichee,DOC-002,adresse / localisation,adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,SAME_DATA_DIFFERENT_SHAPE,0.82,domiciliation.adresse_affichee,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-003,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
capital_social,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;...(+24),montant / capital / titres,capital_lettres,DOC-015;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021;DOC-025;...(+9),montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.capital_social,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
capital_social,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;...(+24),montant / capital / titres,societe_capital_social_lettres,DOC-015;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.capital_social,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
capital_social,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;...(+24),montant / capital / titres,capital_montant_lettres,DOC-016;DOC-017;DOC-018,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,societe.capital_social,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
nb_parts,DOC-003;DOC-004;DOC-019;DOC-020;DOC-021;DOC-025,montant / capital / titres,nb_parts_lettres,DOC-019;DOC-020;DOC-021,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,capital.parts.nombre,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
nb_parts,DOC-003;DOC-004;DOC-019;DOC-020;DOC-021;DOC-025,montant / capital / titres,nb_parts_total_lettres,DOC-019;DOC-020;DOC-021,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,capital.parts.nombre,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
nb_parts,DOC-003;DOC-004;DOC-019;DOC-020;DOC-021;DOC-025,montant / capital / titres,parts_nb_lettres,DOC-019;DOC-020;DOC-021,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,capital.parts.nombre,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
prix_global_parts,DOC-031;DOC-032;DOC-033,montant / capital / titres,prix_global_parts_lettres,DOC-031;DOC-032;DOC-033,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,cession.parts.prix_total,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
prix_global_parts,DOC-031;DOC-032;DOC-033,montant / capital / titres,cession_parts_prix_total_lettres,DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;DOC-043,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,cession.parts.prix_total,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
prix_unitaire_part,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,prix_unitaire_part_lettres,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,cession.parts.prix_unitaire,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
prix_unitaire_part,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,cession_parts_prix_unitaire_lettres,DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;DOC-043,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,cession.parts.prix_unitaire,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
cession_prix_total,DOC-009;DOC-010;DOC-011;DOC-012,montant / capital / titres,cession_prix_total_lettres,DOC-009;DOC-010;DOC-011;DOC-012,montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,cession.cabinet.prix_total,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
cession_prix_total,DOC-009;DOC-010;DOC-011;DOC-012,montant / capital / titres,prix_cession_lettres,DOC-009;DOC-010;DOC-011;DOC-012;DOC-029;DOC-037;DOC-038;DOC-039;...(+4),montant / capital / titres,SAME_DATA_DIFFERENT_SHAPE,0.82,cession.cabinet.prix_total,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
date_pv,DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),date / échéance,date_pv_lettres,DOC-031;DOC-032;DOC-033,date / échéance,SAME_DATA_DIFFERENT_SHAPE,0.82,decision.date_pv,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-008,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
date_pv,DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),date / échéance,reunion_date_pv,DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;DOC-043,date / échéance,SAME_DATA_DIFFERENT_SHAPE,0.82,decision.date_pv,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-008,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
date_pv,DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),date / échéance,scm_cession_agrement_date_pv_lettres,DOC-031;DOC-032;DOC-033,date / échéance,SAME_DATA_DIFFERENT_SHAPE,0.82,decision.date_pv,"Meme donnee probable mais exposee en forme affichee/agregatee, composantes ou version lettres.",Q-008,Modeliser une source structuree et une representation affichee derivee uniquement apres validation.
signataire_nom,DOC-001;DOC-002;DOC-003;DOC-013;DOC-014;DOC-034,identité / qualification personne,dirigeant_nomine_nom,DOC-003;DOC-004,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.signataire.nom / personne.dirigeant_nomine.nom,"Le signataire peut etre le dirigeant nomme dans certains dossiers, mais cette reutilisation depend du cas.",Q-001,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
signataire_prenom,DOC-001;DOC-002;DOC-003;DOC-013;DOC-014;DOC-034,identité / qualification personne,dirigeant_nomine_prenom,DOC-003;DOC-004,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.signataire.prenom / personne.dirigeant_nomine.prenom,"Le signataire peut etre le dirigeant nomme dans certains dossiers, mais cette reutilisation depend du cas.",Q-001,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
president_nom,DOC-015;DOC-023;DOC-024,identité / qualification personne,actionnaire_unique_nom,DOC-015;DOC-023;DOC-024,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.president.nom / personne.actionnaire_unique.nom,"En SAS/SPFPL unipersonnelle, le president peut etre l actionnaire unique, sans fusion par defaut.",Q-001,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
president_prenom,DOC-015;DOC-023;DOC-024,identité / qualification personne,actionnaire_unique_prenom,DOC-015;DOC-023;DOC-024,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.president.prenom / personne.actionnaire_unique.prenom,"En SAS/SPFPL unipersonnelle, le president peut etre l actionnaire unique, sans fusion par defaut.",Q-001,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
associes_list_nom,DOC-026;DOC-027;DOC-028;DOC-030;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,dirigeant_nomine_nom,DOC-003;DOC-004,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.associe.nom / personne.dirigeant_nomine.nom,"Un dirigeant peut etre choisi parmi les associes, mais doit rester un role explicite.",Q-001,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
associes_list_prenom,DOC-026;DOC-027;DOC-028;DOC-030;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,dirigeant_nomine_prenom,DOC-003;DOC-004,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.associe.prenom / personne.dirigeant_nomine.prenom,"Un dirigeant peut etre choisi parmi les associes, mais doit rester un role explicite.",Q-001,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
cession_vendeur_nom,DOC-007;DOC-008;DOC-009;DOC-010;DOC-011;DOC-012,identité / qualification personne,cedant_nom,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.vendeur.nom / personne.cedant.nom,"Vendeur et cedant se recouvrent souvent dans les actes de cession, mais pas toujours selon objet cede.",Q-004,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
cession_vendeur_prenom,DOC-007;DOC-008;DOC-009;DOC-010;DOC-011;DOC-012,identité / qualification personne,cedant_prenom,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.vendeur.prenom / personne.cedant.prenom,"Vendeur et cedant se recouvrent souvent dans les actes de cession, mais pas toujours selon objet cede.",Q-004,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
cession_acquereur_denomination_societe,DOC-007;DOC-008;DOC-009;DOC-010;DOC-011;DOC-012,identité / qualification personne,denomination_societe_cessionnaire,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,societe.acquereur.denomination / societe.cessionnaire.denomination,Acquereur et cessionnaire peuvent designer la meme partie uniquement par contexte d operation.,Q-004,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
cessionnaire_representant_nom,DOC-031;DOC-032;DOC-033,identité / qualification personne,cession_acquereur_representant_nom,DOC-009;DOC-010;DOC-011;DOC-012,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.representant_cessionnaire.nom / personne.representant_acquereur.nom,Representants proches lexicalement mais rattaches a des parties qui doivent rester explicites.,Q-004,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
apporteur_nom,DOC-005;DOC-006;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),montant / capital / titres,cedant_nom,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.apporteur.nom / personne.cedant.nom,Apporteur et cedant ne sont reutilisables que si l operation le dit explicitement.,Q-004,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
societe_cible_denomination,DOC-023;DOC-024;DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;...(+4),identité / qualification personne,denomination_societe_cedee,DOC-023;DOC-024;DOC-029;DOC-031;DOC-032;DOC-033;DOC-035;DOC-036;...(+7),identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,societe.cible.denomination / societe.cedee.denomination,"Societe cible et societe cedee peuvent coincider dans une cession, mais pas dans tous les montages.",Q-004,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
societe_spfpl_denomination,DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),identité / qualification personne,societe_cible_denomination,DOC-023;DOC-024;DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;...(+4),identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,societe.spfpl.denomination / societe.cible.denomination,"La SPFPL peut etre la societe creee, acquereuse ou cible selon le document.",Q-004,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
personne_signataire_nom,DOC-001;DOC-002;DOC-003,identité / qualification personne,mandataire_nom,DOC-001;DOC-002;DOC-003;DOC-034,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.signataire.nom / personne.mandataire.nom,Le mandataire peut signer seulement si une regle de procuration le prevoit.,Q-007,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
ordre_numero_rpps,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),identité / qualification personne,numero_rpps,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,personne.{role}.numero_rpps,"Numero professionnel reutilisable pour une personne identifiee, jamais par simple proximite de libelle.",Q-005,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
